Player Isiah Pacheco,Team KC,1 48%,2 51%,3 42%,4 60%,5 59%,6 Unnamed: 7_level_1,7 Unnamed: 8_level_1,8 Unnamed: 9_level_1,9 Unnamed: 10_level_1,10 Unnamed: 11_level_1,11 Unnamed: 12_level_1,12 Unnamed: 13_level_1,13 Unnamed: 14_level_1,14 Unnamed: 15_level_1,15 Unnamed: 16_level_1,16 Unnamed: 17_level_1,17 Unnamed: 18_level_1,18 Unnamed: 19_level_1,TTL 178,AVG 52%,POS POS,Player Kadarius Toney,1 25%,2 28%,3 3%,4 24%,5 38%,TTL 79,AVG 23%,Player Noah Gray,1 88%,2 61%,3 61%,4 49%,5 65%,TTL 222,AVG 64%
Clyde Edwards-Helaire,KC,22%,16%,30%,9%,14%,,,,,,,,,,,,,,63.0,18%,rb,,,,,,,,,,,,,,,,
Jerick McKinnon,KC,31%,33%,29%,31%,27%,,,,,,,,,,,,,,104.0,30%,rb,,,,,,,,,,,,,,,,
Jahmyr Gibbs,DET,27%,48%,60%,37%,0%,,,,,,,,,,,,,,121.0,43%,rb,,,,,,,,,,,,,,,,
David Montgomery,DET,79%,45%,0%,71%,75%,,,,,,,,,,,,,,183.0,68%,rb,,,,,,,,,,,,,,,,
Gus Edwards,BAL,23%,43%,44%,69%,43%,,,,,,,,,,,,,,149.0,44%,rb,,,,,,,,,,,,,,,,
J.K. Dobbins,BAL,47%,0%,0%,0%,0%,,,,,,,,,,,,,,30.0,47%,rb,,,,,,,,,,,,,,,,
Justice Hill,BAL,30%,57%,0%,12%,56%,,,,,,,,,,,,,,108.0,40%,rb,,,,,,,,,,,,,,,,
Dameon Pierce,HOU,47%,45%,54%,59%,59%,,,,,,,,,,,,,,180.0,52%,rb,,,,,,,,,,,,,,,,
Devin Singletary,HOU,21%,36%,39%,35%,29%,,,,,,,,,,,,,,110.0,32%,rb,,,,,,,,,,,,,,,,
Mike Boone,HOU,32%,0%,7%,6%,12%,,,,,,,,,,,,,,40.0,15%,rb,,,,,,,,,,,,,,,,
Tyler Allgeier,ATL,56%,44%,30%,26%,44%,,,,,,,,,,,,,,134.0,40%,rb,,,,,,,,,,,,,,,,
Bijan Robinson,ATL,63%,72%,81%,76%,61%,,,,,,,,,,,,,,237.0,71%,rb,,,,,,,,,,,,,,,,
Keith Smith,ATL,19%,21%,15%,29%,29%,,,,,,,,,,,,,,76.0,23%,rb,,,,,,,,,,,,,,,,
Chuba Hubbard,CAR,36%,37%,34%,54%,48%,,,,,,,,,,,,,,150.0,42%,rb,,,,,,,,,,,,,,,,
Miles Sanders,CAR,57%,62%,65%,43%,46%,,,,,,,,,,,,,,196.0,55%,rb,,,,,,,,,,,,,,,,
Jerome Ford,CLE,41%,49%,56%,62%,bye,,,,,,,,,,,,,,156.0,52%,rb,,,,,,,,,,,,,,,,
Nick Chubb,CLE,49%,21%,0%,0%,bye,,,,,,,,,,,,,,54.0,34%,rb,,,,,,,,,,,,,,,,
Trayveon Williams,CIN,29%,17%,18%,11%,15%,,,,,,,,,,,,,,58.0,18%,rb,,,,,,,,,,,,,,,,
Chris Evans,CIN,13%,0%,0%,0%,4%,,,,,,,,,,,,,,10.0,7%,rb,,,,,,,,,,,,,,,,
Joe Mixon,CIN,63%,78%,75%,79%,77%,,,,,,,,,,,,,,245.0,75%,rb,,,,,,,,,,,,,,,,
Najee Harris,PIT,52%,57%,50%,49%,56%,,,,,,,,,,,,,,161.0,53%,rb,,,,,,,,,,,,,,,,
Jaylen Warren,PIT,40%,43%,45%,49%,48%,,,,,,,,,,,,,,137.0,45%,rb,,,,,,,,,,,,,,,,
Anthony McFarland Jr.,PIT,8%,0%,0%,0%,0%,,,,,,,,,,,,,,5.0,8%,rb,,,,,,,,,,,,,,,,
Christian McCaffrey,SF,85%,100%,61%,85%,73%,,,,,,,,,,,,,,265.0,79%,rb,,,,,,,,,,,,,,,,
Elijah Mitchell,SF,15%,0%,34%,0%,0%,,,,,,,,,,,,,,38.0,25%,rb,,,,,,,,,,,,,,,,
Antonio Gibson,WAS,35%,48%,61%,38%,54%,,,,,,,,,,,,,,161.0,47%,rb,,,,,,,,,,,,,,,,
Chris Rodriguez Jr.,WAS,4%,3%,2%,0%,0%,,,,,,,,,,,,,,6.0,3%,rb,,,,,,,,,,,,,,,,
Brian Robinson Jr.,WAS,61%,52%,37%,55%,36%,,,,,,,,,,,,,,169.0,49%,rb,,,,,,,,,,,,,,,,
James Conner,ARI,84%,72%,64%,62%,21%,,,,,,,,,,,,,,194.0,61%,rb,,,,,,,,,,,,,,,,
Keaontay Ingram,ARI,11%,15%,15%,0%,0%,,,,,,,,,,,,,,26.0,14%,rb,,,,,,,,,,,,,,,,
Jamaal Williams,NO,75%,23%,0%,0%,0%,,,,,,,,,,,,,,67.0,47%,rb,,,,,,,,,,,,,,,,
Tony Jones Jr.,NO,11%,52%,49%,17%,0%,,,,,,,,,,,,,,88.0,33%,rb,,,,,,,,,,,,,,,,
Adam Prentice,NO,17%,23%,18%,14%,11%,,,,,,,,,,,,,,57.0,17%,rb,,,,,,,,,,,,,,,,
Tyjae Spears,TEN,54%,37%,56%,53%,52%,,,,,,,,,,,,,,151.0,50%,rb,,,,,,,,,,,,,,,,
Derrick Henry,TEN,48%,71%,38%,59%,62%,,,,,,,,,,,,,,170.0,56%,rb,,,,,,,,,,,,,,,,
Alexander Mattison,MIN,73%,76%,80%,69%,51%,,,,,,,,,,,,,,227.0,70%,rb,,,,,,,,,,,,,,,,
Ty Chandler,MIN,17%,12%,15%,0%,0%,,,,,,,,,,,,,,30.0,15%,rb,,,,,,,,,,,,,,,,
C.J. Ham,MIN,34%,22%,10%,10%,25%,,,,,,,,,,,,,,66.0,20%,rb,,,,,,,,,,,,,,,,
Sean Tucker,TB,15%,24%,9%,0%,bye,,,,,,,,,,,,,,31.0,17%,rb,,,,,,,,,,,,,,,,
Rachaad White,TB,79%,72%,91%,70%,bye,,,,,,,,,,,,,,198.0,77%,rb,,,,,,,,,,,,,,,,
Chase Edmonds,TB,12%,4%,0%,0%,bye,,,,,,,,,,,,,,11.0,8%,rb,,,,,,,,,,,,,,,,
Deon Jackson,IND,71%,0%,0%,0%,0%,,,,,,,,,,,,,,51.0,71%,rb,,,,,,,,,,,,,,,,
Jake Funk,IND,18%,0%,0%,0%,0%,,,,,,,,,,,,,,13.0,18%,rb,,,,,,,,,,,,,,,,
Evan Hull,IND,11%,0%,0%,0%,0%,,,,,,,,,,,,,,8.0,11%,rb,,,,,,,,,,,,,,,,
Travis Etienne Jr.,JAC,80%,72%,71%,85%,83%,,,,,,,,,,,,,,285.0,78%,rb,,,,,,,,,,,,,,,,
D'Ernest Johnson,JAC,1%,9%,16%,2%,1%,,,,,,,,,,,,,,21.0,6%,rb,,,,,,,,,,,,,,,,
Tank Bigsby,JAC,21%,19%,12%,12%,15%,,,,,,,,,,,,,,58.0,16%,rb,,,,,,,,,,,,,,,,
Austin Ekeler,LAC,51%,0%,0%,0%,bye,,,,,,,,,,,,,,41.0,51%,rb,,,,,,,,,,,,,,,,
Joshua Kelley,LAC,48%,79%,73%,60%,bye,,,,,,,,,,,,,,180.0,64%,rb,,,,,,,,,,,,,,,,
Salvon Ahmed,MIA,28%,19%,0%,6%,0%,,,,,,,,,,,,,,35.0,18%,rb,,,,,,,,,,,,,,,,
Raheem Mostert,MIA,73%,73%,51%,43%,59%,,,,,,,,,,,,,,192.0,60%,rb,,,,,,,,,,,,,,,,
Alec Ingold,MIA,45%,60%,34%,31%,35%,,,,,,,,,,,,,,132.0,41%,rb,,,,,,,,,,,,,,,,
Kenneth Walker III,SEA,63%,61%,51%,71%,bye,,,,,,,,,,,,,,153.0,60%,rb,,,,,,,,,,,,,,,,
DeeJay Dallas,SEA,22%,13%,13%,7%,bye,,,,,,,,,,,,,,34.0,13%,rb,,,,,,,,,,,,,,,,
Zach Charbonnet,SEA,24%,26%,43%,24%,bye,,,,,,,,,,,,,,76.0,30%,rb,,,,,,,,,,,,,,,,
Kyren Williams,LAR,65%,95%,100%,72%,84%,,,,,,,,,,,,,,290.0,82%,rb,,,,,,,,,,,,,,,,
Cam Akers,Multi,35%,0%,0%,29%,29%,,,,,,,,,,,,,,63.0,31%,rb,,,,,,,,,,,,,,,,
Rhamondre Stevenson,NE,73%,73%,65%,64%,50%,,,,,,,,,,,,,,221.0,66%,rb,,,,,,,,,,,,,,,,
Ty Montgomery II,NE,9%,4%,0%,2%,28%,,,,,,,,,,,,,,26.0,10%,rb,,,,,,,,,,,,,,,,
Ezekiel Elliott,NE,35%,30%,38%,40%,46%,,,,,,,,,,,,,,124.0,37%,rb,,,,,,,,,,,,,,,,
Boston Scott,PHI,12%,13%,0%,0%,0%,,,,,,,,,,,,,,18.0,13%,rb,,,,,,,,,,,,,,,,
Kenneth Gainwell,PHI,62%,0%,46%,38%,38%,,,,,,,,,,,,,,135.0,46%,rb,,,,,,,,,,,,,,,,
D'Andre Swift,PHI,29%,75%,54%,63%,62%,,,,,,,,,,,,,,214.0,57%,rb,,,,,,,,,,,,,,,,
D'Onta Foreman,CHI,28%,0%,0%,0%,0%,,,,,,,,,,,,,,21.0,28%,rb,,,,,,,,,,,,,,,,
Khalil Herbert,CHI,36%,60%,55%,78%,66%,,,,,,,,,,,,,,185.0,59%,rb,,,,,,,,,,,,,,,,
Roschon Johnson,CHI,39%,42%,45%,22%,9%,,,,,,,,,,,,,,96.0,31%,rb,,,,,,,,,,,,,,,,
Khari Blasingame,CHI,9%,9%,10%,21%,41%,,,,,,,,,,,,,,58.0,18%,rb,,,,,,,,,,,,,,,,
Patrick Taylor Jr.,GB,12%,22%,39%,0%,36%,,,,,,,,,,,,,,70.0,28%,rb,,,,,,,,,,,,,,,,
AJ Dillon,GB,48%,68%,52%,67%,64%,,,,,,,,,,,,,,179.0,59%,rb,,,,,,,,,,,,,,,,
Aaron Jones,GB,47%,0%,0%,35%,0%,,,,,,,,,,,,,,48.0,41%,rb,,,,,,,,,,,,,,,,
Samaje Perine,DEN,45%,50%,31%,46%,60%,,,,,,,,,,,,,,141.0,47%,rb,,,,,,,,,,,,,,,,
Jaleel McLaughlin,DEN,8%,5%,21%,33%,33%,,,,,,,,,,,,,,58.0,19%,rb,,,,,,,,,,,,,,,,
Javonte Williams,DEN,45%,45%,42%,17%,0%,,,,,,,,,,,,,,93.0,39%,rb,,,,,,,,,,,,,,,,
Michael Burton,DEN,9%,20%,11%,23%,10%,,,,,,,,,,,,,,43.0,14%,rb,,,,,,,,,,,,,,,,
Josh Jacobs,LV,80%,73%,82%,70%,84%,,,,,,,,,,,,,,240.0,78%,rb,,,,,,,,,,,,,,,,
Zamir White,LV,8%,15%,1%,10%,0%,,,,,,,,,,,,,,19.0,8%,rb,,,,,,,,,,,,,,,,
Ameer Abdullah,LV,12%,15%,17%,21%,17%,,,,,,,,,,,,,,51.0,17%,rb,,,,,,,,,,,,,,,,
Saquon Barkley,NYG,64%,97%,0%,0%,0%,,,,,,,,,,,,,,111.0,80%,rb,,,,,,,,,,,,,,,,
Matt Breida,NYG,23%,3%,82%,73%,58%,,,,,,,,,,,,,,156.0,47%,rb,,,,,,,,,,,,,,,,
Gary Brightwell,NYG,16%,3%,18%,25%,0%,,,,,,,,,,,,,,41.0,16%,rb,,,,,,,,,,,,,,,,
Rico Dowdle,DAL,16%,21%,14%,9%,20%,,,,,,,,,,,,,,54.0,16%,rb,,,,,,,,,,,,,,,,
Tony Pollard,DAL,64%,64%,86%,53%,69%,,,,,,,,,,,,,,234.0,68%,rb,,,,,,,,,,,,,,,,
Deuce Vaughn,DAL,14%,15%,0%,31%,10%,,,,,,,,,,,,,,48.0,18%,rb,,,,,,,,,,,,,,,,
Michael Carter,NYJ,22%,32%,24%,31%,31%,,,,,,,,,,,,,,80.0,28%,rb,,,,,,,,,,,,,,,,
Dalvin Cook,NYJ,50%,36%,25%,25%,17%,,,,,,,,,,,,,,86.0,30%,rb,,,,,,,,,,,,,,,,
Breece Hall,NYJ,31%,34%,49%,44%,52%,,,,,,,,,,,,,,124.0,43%,rb,,,,,,,,,,,,,,,,
Latavius Murray,BUF,23%,23%,25%,33%,18%,,,,,,,,,,,,,,81.0,24%,rb,,,,,,,,,,,,,,,,
Damien Harris,BUF,13%,18%,13%,28%,18%,,,,,,,,,,,,,,59.0,18%,rb,,,,,,,,,,,,,,,,
James Cook,BUF,59%,59%,62%,40%,62%,,,,,,,,,,,,,,189.0,57%,rb,,,,,,,,,,,,,,,,
Rashaad Penny,PHI,0%,12%,0%,0%,0%,,,,,,,,,,,,,,9.0,12%,rb,,,,,,,,,,,,,,,,
Emanuel Wilson,GB,0%,10%,10%,0%,2%,,,,,,,,,,,,,,14.0,7%,rb,,,,,,,,,,,,,,,,
Reggie Gilliam,BUF,6%,12%,15%,17%,12%,,,,,,,,,,,,,,40.0,12%,rb,,,,,,,,,,,,,,,,
Chase Brown,CIN,0%,2%,1%,2%,1%,,,,,,,,,,,,,,4.0,1%,rb,,,,,,,,,,,,,,,,
Julius Chestnut,TEN,10%,2%,0%,0%,0%,,,,,,,,,,,,,,7.0,5%,rb,,,,,,,,,,,,,,,,
Elijah Dotson,LAC,1%,13%,2%,8%,bye,,,,,,,,,,,,,,16.0,6%,rb,,,,,,,,,,,,,,,,
Isaiah Spiller,LAC,0%,6%,24%,23%,bye,,,,,,,,,,,,,,35.0,18%,rb,,,,,,,,,,,,,,,,
Dare Ogunbowale,HOU,0%,19%,0%,0%,0%,,,,,,,,,,,,,,16.0,19%,rb,,,,,,,,,,,,,,,,
Zack Moss,IND,0%,98%,76%,83%,80%,,,,,,,,,,,,,,226.0,83%,rb,,,,,,,,,,,,,,,,
Craig Reynolds,DET,0%,15%,29%,1%,22%,,,,,,,,,,,,,,44.0,16%,rb,,,,,,,,,,,,,,,,
Ronnie Rivers,LAR,0%,5%,0%,28%,16%,,,,,,,,,,,,,,36.0,17%,rb,,,,,,,,,,,,,,,,
Emari Demercado,ARI,5%,12%,18%,35%,77%,,,,,,,,,,,,,,91.0,29%,rb,,,,,,,,,,,,,,,,
Hunter Luepke,DAL,7%,21%,10%,20%,12%,,,,,,,,,,,,,,50.0,14%,rb,,,,,,,,,,,,,,,,
De'Von Achane,MIA,0%,10%,41%,60%,48%,,,,,,,,,,,,,,101.0,40%,rb,,,,,,,,,,,,,,,,
Pierre Strong Jr.,CLE,0%,15%,11%,13%,bye,,,,,,,,,,,,,,30.0,13%,rb,,,,,,,,,,,,,,,,
Kyle Juszczyk,SF,62%,42%,51%,65%,39%,,,,,,,,,,,,,,172.0,51%,rb,,,,,,,,,,,,,,,,
Jordan Mason,SF,0%,0%,5%,15%,18%,,,,,,,,,,,,,,25.0,12%,rb,,,,,,,,,,,,,,,,
Chris Brooks,MIA,0%,0%,18%,0%,13%,,,,,,,,,,,,,,20.0,16%,rb,,,,,,,,,,,,,,,,
Nick Bawden,NYJ,15%,4%,8%,7%,26%,,,,,,,,,,,,,,36.0,13%,rb,,,,,,,,,,,,,,,,
Zonovan Knight,DET,0%,0%,10%,0%,3%,,,,,,,,,,,,,,9.0,7%,rb,,,,,,,,,,,,,,,,
Kendre Miller,NO,0%,0%,34%,8%,36%,,,,,,,,,,,,,,52.0,26%,rb,,,,,,,,,,,,,,,,
Kenyan Drake,BAL,0%,0%,15%,0%,1%,,,,,,,,,,,,,,12.0,8%,rb,,,,,,,,,,,,,,,,
Melvin Gordon III,BAL,0%,0%,40%,19%,0%,,,,,,,,,,,,,,40.0,31%,rb,,,,,,,,,,,,,,,,
Trey Sermon,IND,0%,0%,21%,16%,5%,,,,,,,,,,,,,,31.0,14%,rb,,,,,,,,,,,,,,,,
Kareem Hunt,CLE,0%,0%,20%,22%,bye,,,,,,,,,,,,,,29.0,21%,rb,,,,,,,,,,,,,,,,
Jakob Johnson,LV,46%,20%,10%,34%,16%,,,,,,,,,,,,,,77.0,25%,rb,,,,,,,,,,,,,,,,
Travis Homer,CHI,0%,0%,4%,0%,0%,,,,,,,,,,,,,,2.0,4%,rb,,,,,,,,,,,,,,,,
JaMycal Hasty,JAC,0%,0%,0%,8%,1%,,,,,,,,,,,,,,6.0,4%,rb,,,,,,,,,,,,,,,,
Alvin Kamara,NO,0%,0%,0%,75%,62%,,,,,,,,,,,,,,94.0,69%,rb,,,,,,,,,,,,,,,,
Ke'Shawn Vaughn,TB,0%,0%,0%,30%,bye,,,,,,,,,,,,,,21.0,30%,rb,,,,,,,,,,,,,,,,
Derrick Gore,WAS,0%,0%,0%,8%,10%,,,,,,,,,,,,,,13.0,9%,rb,,,,,,,,,,,,,,,,
Patrick Ricard,BAL,44%,33%,26%,40%,37%,,,,,,,,,,,,,,121.0,36%,rb,,,,,,,,,,,,,,,,
Jonathan Taylor,IND,0%,0%,0%,0%,15%,,,,,,,,,,,,,,10.0,15%,rb,,,,,,,,,,,,,,,,
Cordarrelle Patterson,ATL,0%,0%,0%,2%,6%,,,,,,,,,,,,,,6.0,4%,rb,,,,,,,,,,,,,,,,
Eric Gray,NYG,0%,0%,0%,0%,42%,,,,,,,,,,,,,,30.0,42%,rb,,,,,,,,,,,,,,,,
Tyrion Davis-Price,SF,0%,0%,0%,0%,10%,,,,,,,,,,,,,,7.0,10%,rb,,,,,,,,,,,,,,,,
Godwin Igwebuike,ATL,2%,1%,0%,0%,0%,,,,,,,,,,,,,,2.0,1%,rb,,,,,,,,,,,,,,,,
Qadree Ollison,PIT,0%,0%,2%,0%,0%,,,,,,,,,,,,,,1.0,2%,rb,,,,,,,,,,,,,,,,
,KC,,,,,,,,,,,,,,,,,,,,,wr,Rashee Rice,31%,18%,51%,46%,30%,123.0,36%,,,,,,,,
,KC,,,,,,,,,,,,,,,,,,,,,wr,Skyy Moore,69%,58%,65%,59%,56%,212.0,61%,,,,,,,,
,KC,,,,,,,,,,,,,,,,,,,,,wr,Richie James Jr.,35%,4%,0%,0%,0%,26.0,20%,,,,,,,,
,KC,,,,,,,,,,,,,,,,,,,,,wr,Justin Watson,29%,46%,40%,61%,44%,153.0,44%,,,,,,,,
,KC,,,,,,,,,,,,,,,,,,,,,wr,Justyn Ross,9%,13%,38%,6%,9%,54.0,16%,,,,,,,,
,KC,,,,,,,,,,,,,,,,,,,,,wr,Marquez Valdes-Scantling,63%,82%,53%,54%,65%,218.0,63%,,,,,,,,
,DET,,,,,,,,,,,,,,,,,,,,,wr,Kalif Raymond,27%,42%,36%,23%,48%,118.0,35%,,,,,,,,
,DET,,,,,,,,,,,,,,,,,,,,,wr,Josh Reynolds,70%,80%,77%,73%,47%,239.0,70%,,,,,,,,
,DET,,,,,,,,,,,,,,,,,,,,,wr,Amon-Ra St. Brown,94%,74%,94%,88%,0%,247.0,88%,,,,,,,,
,DET,,,,,,,,,,,,,,,,,,,,,wr,Marvin Jones Jr.,56%,52%,41%,28%,58%,158.0,46%,,,,,,,,
,BAL,,,,,,,,,,,,,,,,,,,,,wr,Zay Flowers,84%,77%,93%,98%,99%,305.0,90%,,,,,,,,
,BAL,,,,,,,,,,,,,,,,,,,,,wr,Odell Beckham Jr.,92%,52%,0%,0%,53%,135.0,65%,,,,,,,,
,BAL,,,,,,,,,,,,,,,,,,,,,wr,Rashod Bateman,39%,59%,69%,0%,39%,146.0,52%,,,,,,,,
,BAL,,,,,,,,,,,,,,,,,,,,,wr,Devin Duvernay,11%,29%,25%,60%,9%,88.0,26%,,,,,,,,
,HOU,,,,,,,,,,,,,,,,,,,,,wr,Noah Brown,68%,0%,0%,0%,0%,52.0,68%,,,,,,,,
,HOU,,,,,,,,,,,,,,,,,,,,,wr,Xavier Hutchinson,9%,21%,0%,0%,14%,33.0,15%,,,,,,,,
,HOU,,,,,,,,,,,,,,,,,,,,,wr,Robert Woods,75%,86%,77%,72%,67%,263.0,76%,,,,,,,,
,HOU,,,,,,,,,,,,,,,,,,,,,wr,Nico Collins,71%,62%,66%,76%,88%,249.0,72%,,,,,,,,
,HOU,,,,,,,,,,,,,,,,,,,,,wr,Tank Dell,48%,79%,61%,70%,36%,208.0,60%,,,,,,,,
,ATL,,,,,,,,,,,,,,,,,,,,,wr,Mack Hollins,63%,71%,72%,79%,39%,215.0,64%,,,,,,,,
,ATL,,,,,,,,,,,,,,,,,,,,,wr,Drake London,90%,82%,93%,86%,86%,292.0,87%,,,,,,,,
,ATL,,,,,,,,,,,,,,,,,,,,,wr,Scott Miller,19%,12%,15%,24%,23%,62.0,18%,,,,,,,,
,CAR,,,,,,,,,,,,,,,,,,,,,wr,Laviska Shenault Jr.,32%,17%,14%,18%,24%,76.0,21%,,,,,,,,
,CAR,,,,,,,,,,,,,,,,,,,,,wr,Jonathan Mingo,87%,98%,33%,0%,86%,213.0,74%,,,,,,,,
,CAR,,,,,,,,,,,,,,,,,,,,,wr,Adam Thielen,88%,87%,92%,90%,97%,327.0,91%,,,,,,,,
,CAR,,,,,,,,,,,,,,,,,,,,,wr,Terrace Marshall Jr.,90%,37%,59%,63%,0%,183.0,64%,,,,,,,,
,CAR,,,,,,,,,,,,,,,,,,,,,wr,Ihmir Smith-Marsette,3%,0%,4%,7%,0%,10.0,4%,,,,,,,,
,CLE,,,,,,,,,,,,,,,,,,,,,wr,Elijah Moore,69%,77%,76%,83%,bye,229.0,76%,,,,,,,,
,CLE,,,,,,,,,,,,,,,,,,,,,wr,Amari Cooper,62%,72%,80%,81%,bye,222.0,74%,,,,,,,,
,CLE,,,,,,,,,,,,,,,,,,,,,wr,Donovan Peoples-Jones,89%,87%,89%,90%,bye,267.0,89%,,,,,,,,
,CLE,,,,,,,,,,,,,,,,,,,,,wr,Marquise Goodwin,14%,17%,7%,6%,bye,34.0,11%,,,,,,,,
,CLE,,,,,,,,,,,,,,,,,,,,,wr,David Bell,14%,13%,14%,12%,bye,39.0,13%,,,,,,,,
,CIN,,,,,,,,,,,,,,,,,,,,,wr,Ja'Marr Chase,96%,98%,96%,94%,93%,313.0,95%,,,,,,,,
,CIN,,,,,,,,,,,,,,,,,,,,,wr,Tyler Boyd,84%,92%,77%,91%,73%,269.0,82%,,,,,,,,
,CIN,,,,,,,,,,,,,,,,,,,,,wr,Tee Higgins,95%,88%,86%,51%,0%,199.0,81%,,,,,,,,
,PIT,,,,,,,,,,,,,,,,,,,,,wr,George Pickens,89%,85%,89%,98%,88%,273.0,90%,,,,,,,,
,PIT,,,,,,,,,,,,,,,,,,,,,wr,Allen Robinson II,89%,87%,81%,85%,86%,260.0,86%,,,,,,,,
,PIT,,,,,,,,,,,,,,,,,,,,,wr,Calvin Austin III,56%,76%,73%,90%,56%,211.0,69%,,,,,,,,
,PIT,,,,,,,,,,,,,,,,,,,,,wr,Diontae Johnson,43%,0%,0%,0%,0%,27.0,43%,,,,,,,,
,SF,,,,,,,,,,,,,,,,,,,,,wr,Deebo Samuel,87%,89%,82%,87%,73%,278.0,83%,,,,,,,,
,SF,,,,,,,,,,,,,,,,,,,,,wr,Jauan Jennings,32%,47%,37%,0%,38%,107.0,38%,,,,,,,,
,SF,,,,,,,,,,,,,,,,,,,,,wr,Brandon Aiyuk,85%,53%,0%,76%,79%,186.0,74%,,,,,,,,
,SF,,,,,,,,,,,,,,,,,,,,,wr,Ray-Ray McCloud III,4%,7%,46%,24%,18%,71.0,21%,,,,,,,,
,WAS,,,,,,,,,,,,,,,,,,,,,wr,Curtis Samuel,65%,62%,74%,69%,70%,234.0,68%,,,,,,,,
,WAS,,,,,,,,,,,,,,,,,,,,,wr,Terry McLaurin,89%,74%,81%,81%,83%,282.0,82%,,,,,,,,
,WAS,,,,,,,,,,,,,,,,,,,,,wr,Jahan Dotson,87%,85%,94%,72%,80%,287.0,83%,,,,,,,,
,WAS,,,,,,,,,,,,,,,,,,,,,wr,Dyami Brown,27%,32%,22%,32%,24%,96.0,28%,,,,,,,,
,ARI,,,,,,,,,,,,,,,,,,,,,wr,Marquise Brown,84%,94%,95%,94%,91%,290.0,92%,,,,,,,,
,ARI,,,,,,,,,,,,,,,,,,,,,wr,Rondale Moore,68%,65%,54%,76%,67%,209.0,66%,,,,,,,,
,ARI,,,,,,,,,,,,,,,,,,,,,wr,Michael Wilson,90%,43%,67%,70%,75%,218.0,69%,,,,,,,,
,ARI,,,,,,,,,,,,,,,,,,,,,wr,Zach Pascal,8%,35%,23%,30%,18%,73.0,23%,,,,,,,,
,NO,,,,,,,,,,,,,,,,,,,,,wr,Rashid Shaheed,54%,49%,72%,58%,57%,196.0,58%,,,,,,,,
,NO,,,,,,,,,,,,,,,,,,,,,wr,Michael Thomas,80%,78%,75%,80%,71%,261.0,77%,,,,,,,,
,NO,,,,,,,,,,,,,,,,,,,,,wr,Keith Kirkwood,34%,22%,28%,29%,24%,92.0,27%,,,,,,,,
,NO,,,,,,,,,,,,,,,,,,,,,wr,Chris Olave,78%,79%,80%,82%,79%,271.0,80%,,,,,,,,
,TEN,,,,,,,,,,,,,,,,,,,,,wr,Treylon Burks,90%,65%,75%,0%,0%,135.0,77%,,,,,,,,
,TEN,,,,,,,,,,,,,,,,,,,,,wr,Chris Moore,14%,46%,38%,79%,62%,146.0,48%,,,,,,,,
,TEN,,,,,,,,,,,,,,,,,,,,,wr,DeAndre Hopkins,78%,60%,73%,53%,83%,208.0,69%,,,,,,,,
,TEN,,,,,,,,,,,,,,,,,,,,,wr,Nick Westbrook-Ikhine,81%,68%,81%,83%,70%,231.0,76%,,,,,,,,
,MIN,,,,,,,,,,,,,,,,,,,,,wr,Justin Jefferson,98%,100%,95%,98%,71%,297.0,92%,,,,,,,,
,MIN,,,,,,,,,,,,,,,,,,,,,wr,Jordan Addison,56%,69%,71%,58%,75%,216.0,67%,,,,,,,,
,MIN,,,,,,,,,,,,,,,,,,,,,wr,K.J. Osborn,91%,97%,93%,83%,89%,294.0,91%,,,,,,,,
,TB,,,,,,,,,,,,,,,,,,,,,wr,Rakim Jarrett,9%,23%,13%,18%,bye,41.0,16%,,,,,,,,
,TB,,,,,,,,,,,,,,,,,,,,,wr,Deven Thompkins,26%,45%,21%,63%,bye,105.0,41%,,,,,,,,
,TB,,,,,,,,,,,,,,,,,,,,,wr,Mike Evans,84%,61%,81%,37%,bye,164.0,64%,,,,,,,,
,TB,,,,,,,,,,,,,,,,,,,,,wr,Chris Godwin,85%,75%,87%,75%,bye,205.0,80%,,,,,,,,
,TB,,,,,,,,,,,,,,,,,,,,,wr,Trey Palmer,34%,49%,72%,75%,bye,145.0,56%,,,,,,,,
,IND,,,,,,,,,,,,,,,,,,,,,wr,Josh Downs,79%,75%,80%,73%,71%,261.0,76%,,,,,,,,
,IND,,,,,,,,,,,,,,,,,,,,,wr,Alec Pierce,92%,100%,96%,91%,98%,327.0,95%,,,,,,,,
,IND,,,,,,,,,,,,,,,,,,,,,wr,Michael Pittman Jr.,97%,98%,100%,95%,100%,337.0,98%,,,,,,,,
,IND,,,,,,,,,,,,,,,,,,,,,wr,Isaiah McKenzie,1%,4%,11%,11%,11%,26.0,8%,,,,,,,,
,JAC,,,,,,,,,,,,,,,,,,,,,wr,Jamal Agnew,4%,37%,55%,0%,12%,79.0,27%,,,,,,,,
,JAC,,,,,,,,,,,,,,,,,,,,,wr,Calvin Ridley,81%,79%,82%,80%,85%,298.0,82%,,,,,,,,
,JAC,,,,,,,,,,,,,,,,,,,,,wr,Christian Kirk,60%,81%,86%,79%,83%,284.0,78%,,,,,,,,
,JAC,,,,,,,,,,,,,,,,,,,,,wr,Zay Jones,89%,66%,0%,0%,43%,144.0,64%,,,,,,,,
,LAC,,,,,,,,,,,,,,,,,,,,,wr,Keenan Allen,91%,94%,89%,75%,bye,246.0,88%,,,,,,,,
,LAC,,,,,,,,,,,,,,,,,,,,,wr,Joshua Palmer,64%,54%,61%,86%,bye,185.0,66%,,,,,,,,
